gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Student_Name,Name_Meaning
female,group B,bachelor's degree,standard,none,72,72,74,Jude,"Generosity, goodness"
female,group C,some college,standard,completed,69,90,88,Hafsa,"Cub, young lioness"
female,group B,master's degree,standard,none,90,95,93,Sarah,"Princess, bringer of joy"
male,group A,associate's degree,free/reduced,none,47,57,44,Ibrahim,"Father of many nations, Prophet Abraham"
male,group C,some college,standard,none,76,78,75,Aziz,"Powerful, respected, beloved"
female,group B,associate's degree,standard,none,71,83,78,Jude,"Generosity, goodness"
female,group B,some college,standard,completed,88,95,92,Maya,"Princess, water"
male,group B,some college,free/reduced,none,40,43,39,Yunus,"Jonah, dove"
male,group D,high school,free/reduced,completed,64,64,67,Nasir,"Helper, protector"
female,group B,high school,free/reduced,none,38,60,50,Alia,"Highest social standing, exalted"
male,group C,associate's degree,standard,none,58,54,52,Ibrahim,"Father of many nations, Prophet Abraham"
male,group D,associate's degree,standard,none,40,52,43,Kamil,"Perfect, complete"
female,group B,high school,standard,none,65,81,73,Fatima,"Captivating, daughter of the Prophet"
male,group A,some college,standard,completed,78,72,70,Habib,"Beloved, dear friend"
female,group A,master's degree,standard,none,50,53,58,Lina,"Tender, palm tree"
female,group C,some high school,standard,none,69,75,78,Huda,Right guidance
male,group C,high school,standard,none,88,89,86,Yunus,"Jonah, dove"
female,group B,some high school,free/reduced,none,18,32,28,Sana,"Radiance, brilliance, mountaintop"
male,group C,master's degree,free/reduced,completed,46,42,46,Omar,"Long-lived, flourishing"
female,group C,associate's degree,free/reduced,none,54,58,61,Alia,"Highest social standing, exalted"
male,group D,high school,standard,none,66,69,63,Isa,"Jesus, God is salvation"
female,group B,some college,free/reduced,completed,65,75,70,Sana,"Radiance, brilliance, mountaintop"
male,group D,some college,standard,none,44,54,53,Farhan,"Happy, glad"
female,group C,some high school,standard,none,69,73,73,Sarah,"Princess, bringer of joy"
male,group D,bachelor's degree,free/reduced,completed,74,71,80,Jamil,"Beautiful, radiant"
male,group A,master's degree,free/reduced,none,73,74,72,Jafar,"Stream, rivulet"
male,group B,some college,standard,none,69,54,55,Faiz,"Victorious, successful"
female,group C,bachelor's degree,standard,none,67,69,75,Amara,"Eternal beauty, urgent news"
male,group C,high school,standard,none,70,70,65,Anas,"Friendliness, affection"
female,group D,master's degree,standard,none,62,70,75,Sofia,"Wisdom, beautiful"
female,group D,some college,standard,none,69,74,74,Lina,"Tender, palm tree"
female,group B,some college,standard,none,63,65,61,Alia,"Highest social standing, exalted"
female,group E,master's degree,free/reduced,none,56,72,65,Nora,"Light, illumination"
male,group D,some college,standard,none,40,42,38,Jude,"Generosity, goodness"
male,group E,some college,standard,none,97,87,82,Anas,"Friendliness, affection"
male,group E,associate's degree,standard,completed,81,81,79,Sajid,One who prostrates in worship
female,group D,associate's degree,standard,none,74,81,83,Anisa,"Friendly, good companion"
female,group D,some high school,free/reduced,none,50,64,59,Asma,"High, exalted, lofty"
female,group D,associate's degree,free/reduced,completed,75,90,88,Dalal,"Coquettishness, pampered"
male,group B,associate's degree,free/reduced,none,57,56,57,Youssef,"Joseph, God increases in honor"
male,group C,associate's degree,free/reduced,none,55,61,54,Tariq,"Morning star, night visitor"
female,group C,associate's degree,standard,none,58,73,68,Rida,"Contentment, favored by God"
female,group B,associate's degree,standard,none,53,58,65,Sarah,"Princess, bringer of joy"
male,group B,some college,free/reduced,completed,59,65,66,Sami,"Hearing, elevated, sublime"
female,group E,associate's degree,free/reduced,none,50,56,54,Ayla,"Moonlight, halo"
male,group B,associate's degree,standard,none,65,54,57,Ayan,"Gift of God, time, epoch"
female,group A,associate's degree,standard,completed,55,65,62,Fatima,"Captivating, daughter of the Prophet"
female,group C,high school,standard,none,66,71,76,Maya,"Princess, water"
female,group D,associate's degree,free/reduced,completed,57,74,76,Safiya,"Pure, untroubled, chosen friend"
male,group C,high school,standard,completed,82,84,82,Suhail,"Gentle, easy-going, Canopus star"
male,group E,some college,standard,none,53,55,48,Zain,"Beauty, grace"
male,group E,associate's degree,free/reduced,completed,77,69,68,Luqman,"Wise, a prophet/sage in the Quran"
male,group C,some college,standard,none,53,44,42,Jafar,"Stream, rivulet"
male,group D,high school,standard,none,88,78,75,Habib,"Beloved, dear friend"
female,group C,some high school,free/reduced,completed,71,84,87,Nora,"Light, illumination"
female,group C,high school,free/reduced,none,33,41,43,Hala,"Aura, halo around the moon"
female,group E,associate's degree,standard,completed,82,85,86,Jude,"Generosity, goodness"
male,group D,associate's degree,standard,none,52,55,49,Anas,"Friendliness, affection"
male,group D,some college,standard,completed,58,59,58,Arif,"Knowing, knowledgeable"
female,group C,some high school,free/reduced,none,0,17,10,Huda,Right guidance
male,group E,bachelor's degree,free/reduced,completed,79,74,72,Mustafa,The chosen one
male,group A,some high school,free/reduced,none,39,39,34,Jafar,"Stream, rivulet"
male,group A,associate's degree,free/reduced,none,62,61,55,Habib,"Beloved, dear friend"
female,group C,associate's degree,standard,none,69,80,71,Ayla,"Moonlight, halo"
female,group D,some high school,standard,none,59,58,59,Jude,"Generosity, goodness"
male,group B,some high school,standard,none,67,64,61,Hassan,"Beautiful, handsome, doer of good"
male,group D,some high school,free/reduced,none,45,37,37,Mikael,Angel of mercy and rain
female,group C,some college,standard,none,60,72,74,Dalal,"Coquettishness, pampered"
male,group B,associate's degree,free/reduced,none,61,58,56,Aziz,"Powerful, respected, beloved"
female,group C,associate's degree,standard,none,39,64,57,Huda,Right guidance
female,group D,some college,free/reduced,completed,58,63,73,Amani,"Wishes, aspirations"
male,group D,some college,standard,completed,63,55,63,Bilal,"Moisture, the Prophet's first muezzin"
female,group A,associate's degree,free/reduced,none,41,51,48,Mariam,"Mary, pious, beloved"
male,group C,some high school,free/reduced,none,61,57,56,Selim,"Safe, secure, flawless"
male,group C,some high school,standard,none,49,49,41,Hadi,"Guide, leader"
male,group B,associate's degree,free/reduced,none,44,41,38,Hadi,"Guide, leader"
male,group E,some high school,standard,none,30,26,22,Jude,"Generosity, goodness"
male,group A,bachelor's degree,standard,completed,80,78,81,Shadi,"Singer, seeker of knowledge"
female,group D,some high school,standard,completed,61,74,72,Mariam,"Mary, pious, beloved"
female,group E,master's degree,standard,none,62,68,68,Leen,"Softness, tenderness"
female,group B,associate's degree,standard,none,47,49,50,Amina,"Trustworthy, peaceful"
male,group B,high school,free/reduced,none,49,45,45,Khalid,"Eternal, immortal"
male,group A,some college,free/reduced,completed,50,47,54,Amir,"Prince, commander"
male,group E,associate's degree,standard,none,72,64,63,Anas,"Friendliness, affection"
male,group D,high school,free/reduced,none,42,39,34,Hamza,"Strong, steadfast, lion"
